VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2004,108.173913043,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2005,109.565217391,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2006,110.956521739,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2007,112.347826087,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2008,113.739130435,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2009,115.130434783,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2010,116.52173913,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2011,105.913043478,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2012,106.956521739,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2013,108,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2014,108.434782609,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2015,108.434782609,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2016,108.086956522,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2017,106.695652174,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2018,106.695652174,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2019,106.695652174,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2020,106.695652174,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2000,2.893033879,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2001,3.403882756,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2002,3.914731633,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2003,4.42558051,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2004,4.936429387,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2005,5.447278264,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2006,5.175432085,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2007,4.903585906,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2008,4.631739727,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2009,4.359893548,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2010,4.08804737,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2011,3.816201191,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2012,3.544355012,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2013,3.272508833,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2014,3.000662654,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2015,2.728816475,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2016,2.456970296,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2017,2.185124117,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2018,1.913277938,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2019,1.641431759,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2020,1.36958558,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2000,0.003846154,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2001,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2002,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2003,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2004,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2005,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2006,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2007,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2008,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2009,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2010,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2011,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2012,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2013,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2014,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2015,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2016,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2017,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2018,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2019,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2020,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2000,3.964456596,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2001,4.853041695,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2002,5.741626794,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2003,6.630211893,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2004,7.518796993,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2005,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2006,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2007,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2008,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2009,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2010,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2011,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2012,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2013,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2014,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2015,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2016,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2017,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2018,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2019,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2020,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2000,0.284241762,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2001,0.312353584,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2002,0.234265188,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2003,0.401374356,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2004,0.573168827,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2005,0.103076683,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2006,0.078088396,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2007,0.059347181,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2008,0.032497735,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2009,0.0329526,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2010,0.032489614,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2011,0.033695611,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2012,0.0346397,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2013,0.037546697,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2014,0.0393325,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2015,0.03774918,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2016,0.034590583,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2017,0.034875449,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2018,0.037002733,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2019,0.03795096,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2020,0.037925652,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2000,22.305986696,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2001,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2002,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2003,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2004,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2005,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2006,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2007,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2008,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2009,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2010,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2011,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2012,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2013,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2014,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2015,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2016,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2017,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2018,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2019,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2020,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2002,4.26557377,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2003,4.756284153,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2004,5.246994535,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2005,5.737704918,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2006,5.937928465,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2007,6.138152012,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2008,6.338375559,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2009,6.538599106,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2010,6.738822653,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2011,6.9390462,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2012,7.139269747,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2013,7.339493294,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2014,7.53971684,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2015,7.739940387,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2016,7.940163934,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2017,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2018,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2019,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2020,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2000,0.175131349,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2001,0.175131349,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2002,0.175131349,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2003,0.175131349,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2004,0.175131349,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2005,0.175131349,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2006,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2007,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2008,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2009,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2010,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2011,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2012,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2013,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2014,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2015,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2016,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2017,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2018,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2019,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2020,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2000,0.045454545,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2001,0.045454545,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2002,0.045454545,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2003,0.045454545,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2004,0.045454545,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2005,0.045454545,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2006,0.074380165,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2007,0.103305785,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2008,0.132231405,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2009,0.161157025,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2010,0.190082645,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2011,0.219008264,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2012,0.247933884,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2013,0.276859504,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2014,0.305785124,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2015,0.334710744,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2016,0.363636364,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2017,0.363636364,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2018,0.363636364,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2019,0.909090909,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2020,0.909090909,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2000,2.309004739,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2001,2.259241706,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2002,2.033649289,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2003,2.614691943,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2004,2.439810426,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2005,2.225592417,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2006,2.25450237,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2007,1.863981043,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2008,1.226540284,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2009,1.48957346,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2010,1.437440758,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2011,1.438862559,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2012,1.38056872,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2013,1.31563981,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2014,1.001895735,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2015,1.522748815,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2016,1.47535545,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2017,1.39478673,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2018,1.415556444,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2019,1.508674741,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2020,1.630474938,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2000,0.024277108,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2001,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2002,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2003,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2004,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2005,0.024277108,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2006,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2007,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2008,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2009,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2010,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2011,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2012,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2013,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2014,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2015,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2016,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2017,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2018,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2019,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2020,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2000,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2001,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2002,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2003,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2004,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2005,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2006,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2007,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2008,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2009,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2010,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2011,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2012,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2013,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2014,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2015,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2016,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2017,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2018,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2019,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2020,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2000,2.185904521,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2001,2.081899047,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2002,1.977893573,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2003,1.873888099,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2004,1.769882625,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2005,1.665877151,%,E,False
