World_Bank_Income_Group,Region,Country,ISO3,Subgroup,Indicator,DQQ_Question,Indicator_Number,Unit,Mean,Lower_95_CI,Upper_95_CI,n,Start_Date,End_Date,Start_Year,End_Year
Upper middle income,Europe and Central Asia,Georgia,GEO,All,"White roots, tubers, or plantains",DQQ3,13,Percentage,56.19,52.29,60.05,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,"White roots, tubers, or plantains",DQQ3,13,Percentage,54.31,48.25,60.25,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,"White roots, tubers, or plantains",DQQ3,13,Percentage,57.79,53.17,62.28,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,"White roots, tubers, or plantains",DQQ3,13,Percentage,55.38,49.8,60.83,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,"White roots, tubers, or plantains",DQQ3,13,Percentage,57.42,51.96,62.71,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,64.21,60.8,67.55,998,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,60.19,54.24,65.85,319,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,67.64,62.85,72.09,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,64.89,60.46,69.07,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,"At least one whole grain, pulse, nut or seed",NA,14,Percentage,63.17,57.28,68.69,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,"At least one pulse, nut, or seed",NA,15,Percentage,45.89,41.78,50.03,998,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,"At least one pulse, nut, or seed",NA,15,Percentage,44.25,37.77,50.93,319,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,"At least one pulse, nut, or seed",NA,15,Percentage,47.29,42.36,52.27,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,"At least one pulse, nut, or seed",NA,15,Percentage,44.27,39.19,49.47,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,"At least one pulse, nut, or seed",NA,15,Percentage,48.38,41.38,55.44,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Pulses,DQQ4,16,Percentage,24.03,20.83,27.39,998,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Pulses,DQQ4,16,Percentage,26.66,21.57,32.46,319,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Pulses,DQQ4,16,Percentage,21.8,18.28,25.78,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Pulses,DQQ4,16,Percentage,24.94,20.99,29.37,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Pulses,DQQ4,16,Percentage,22.63,17.61,28.59,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Nuts or seeds,DQQ21,17,Percentage,29.98,26.22,33.87,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Nuts or seeds,DQQ21,17,Percentage,25.88,20.4,32.24,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Nuts or seeds,DQQ21,17,Percentage,33.47,28.92,38.35,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Nuts or seeds,DQQ21,17,Percentage,28.05,23.29,33.37,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Nuts or seeds,DQQ21,17,Percentage,32.94,27.1,39.36,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Zero vegetable or fruit consumption,NA,18,Percentage,3.25,2.01,4.78,998,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Zero vegetable or fruit consumption,NA,18,Percentage,2.29,0.94,5.46,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Zero vegetable or fruit consumption,NA,18,Percentage,4.08,2.55,6.47,678,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Zero vegetable or fruit consumption,NA,18,Percentage,4,2.38,6.65,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Zero vegetable or fruit consumption,NA,18,Percentage,2.1,0.98,4.42,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,At least one vegetable,NA,19,Percentage,90.83,88.46,92.94,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,At least one vegetable,NA,19,Percentage,91.28,86.89,94.3,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,At least one vegetable,NA,19,Percentage,90.43,87.66,92.64,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,At least one vegetable,NA,19,Percentage,89.76,86.19,92.49,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,At least one vegetable,NA,19,Percentage,92.46,88.47,95.14,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,25.24,21.6,29.07,998,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,24.78,19.49,30.95,319,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,25.63,21.39,30.39,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,28.12,22.96,33.92,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Vitamin A-rich orange vegetables,DQQ5,20,Percentage,20.81,16.74,25.56,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Dark green leafy vegetables,DQQ6,21,Percentage,17.2,14.38,20.21,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Dark green leafy vegetables,DQQ6,21,Percentage,14.65,11.26,18.84,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Dark green leafy vegetables,DQQ6,21,Percentage,19.37,15.61,23.78,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Dark green leafy vegetables,DQQ6,21,Percentage,16.75,13.28,20.91,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Dark green leafy vegetables,DQQ6,21,Percentage,17.88,13.61,23.14,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Other vegetables,DQQ7,22,Percentage,89.91,87.41,92.16,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Other vegetables,DQQ7,22,Percentage,91.07,86.69,94.1,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Other vegetables,DQQ7,22,Percentage,88.91,85.89,91.36,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Other vegetables,DQQ7,22,Percentage,89.15,85.52,91.96,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Other vegetables,DQQ7,22,Percentage,91.07,86.57,94.16,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,At least one fruit,NA,23,Percentage,88.15,84.96,91,998,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,At least one fruit,NA,23,Percentage,87.7,82.13,91.71,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,At least one fruit,NA,23,Percentage,88.53,84.84,91.41,678,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,At least one fruit,NA,23,Percentage,85.89,80.54,89.95,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,At least one fruit,NA,23,Percentage,91.64,88.6,93.92,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Vitamin A-rich fruits,DQQ8,24,Percentage,10.34,7.76,13.24,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Vitamin A-rich fruits,DQQ8,24,Percentage,6.64,3.84,11.23,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Vitamin A-rich fruits,DQQ8,24,Percentage,13.5,10.47,17.22,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Vitamin A-rich fruits,DQQ8,24,Percentage,8.11,5.63,11.56,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Vitamin A-rich fruits,DQQ8,24,Percentage,13.76,9.24,20.01,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Citrus,DQQ9,25,Percentage,2.57,1.1,4.63,998,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Citrus,DQQ9,25,Percentage,2.66,1.05,6.6,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Citrus,DQQ9,25,Percentage,2.49,1.33,4.6,678,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Citrus,DQQ9,25,Percentage,3.03,1.18,7.52,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Citrus,DQQ9,25,Percentage,1.86,0.87,3.9,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Other fruits,DQQ10,26,Percentage,86.78,83.57,89.69,998,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Other fruits,DQQ10,26,Percentage,86.12,80.55,90.29,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Other fruits,DQQ10,26,Percentage,87.34,83.62,90.32,678,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Other fruits,DQQ10,26,Percentage,85.18,79.81,89.31,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Other fruits,DQQ10,26,Percentage,89.27,85.86,91.93,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,At least one animal-source food,NA,27,Percentage,91.74,89.32,93.87,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,At least one animal-source food,NA,27,Percentage,93.41,89.09,96.09,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,At least one animal-source food,NA,27,Percentage,90.31,87.14,92.76,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,At least one animal-source food,NA,27,Percentage,91.87,88.59,94.26,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,At least one animal-source food,NA,27,Percentage,91.54,86.77,94.69,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Dairy,NA,28,Percentage,83.01,79.51,86.25,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Dairy,NA,28,Percentage,82.66,76.28,87.6,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Dairy,NA,28,Percentage,83.31,79.31,86.68,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Dairy,NA,28,Percentage,81.95,76.84,86.15,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Dairy,NA,28,Percentage,84.64,79,88.98,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Milk,DQQ25,29,Percentage,25.24,21.03,29.7,1000,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Milk,DQQ25,29,Percentage,26.34,19.79,34.13,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Milk,DQQ25,29,Percentage,24.3,20.62,28.41,680,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Milk,DQQ25,29,Percentage,28.69,22.86,35.33,568,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Milk,DQQ25,29,Percentage,19.92,15.02,25.94,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Yogurt,DQQ15,30,Percentage,29.16,25.29,33.18,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Yogurt,DQQ15,30,Percentage,26.56,20.86,33.18,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Yogurt,DQQ15,30,Percentage,31.37,26.96,36.15,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Yogurt,DQQ15,30,Percentage,30.72,25.25,36.8,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Yogurt,DQQ15,30,Percentage,26.75,22.14,31.91,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Cheese,DQQ14,31,Percentage,75.89,72.28,79.32,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Cheese,DQQ14,31,Percentage,75.59,69.67,80.67,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Cheese,DQQ14,31,Percentage,76.14,71.65,80.12,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Cheese,DQQ14,31,Percentage,74.17,69.2,78.58,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Cheese,DQQ14,31,Percentage,78.54,72.61,83.47,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Eggs,DQQ13,32,Percentage,39.38,35.41,43.41,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Eggs,DQQ13,32,Percentage,46.85,40.88,52.91,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Eggs,DQQ13,32,Percentage,33,28.83,37.46,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Eggs,DQQ13,32,Percentage,40.02,34.6,45.7,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Eggs,DQQ13,32,Percentage,38.39,32.67,44.44,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,"Meat, poultry, or fish",NA,33,Percentage,57.14,53.2,61.04,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,"Meat, poultry, or fish",NA,33,Percentage,65.77,59.65,71.4,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,"Meat, poultry, or fish",NA,33,Percentage,49.78,45.59,53.98,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,"Meat, poultry, or fish",NA,33,Percentage,56.56,51.28,61.7,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,"Meat, poultry, or fish",NA,33,Percentage,58.03,51.6,64.21,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Fish or seafood,DQQ20,34,Percentage,10.31,8.02,12.85,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Fish or seafood,DQQ20,34,Percentage,11.5,8.08,16.12,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Fish or seafood,DQQ20,34,Percentage,9.29,6.55,13.03,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Fish or seafood,DQQ20,34,Percentage,8.04,5.51,11.6,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Fish or seafood,DQQ20,34,Percentage,13.81,10.33,18.21,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Poultry,DQQ19,35,Percentage,25.25,21.16,29.57,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Poultry,DQQ19,35,Percentage,30.83,24.22,38.33,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Poultry,DQQ19,35,Percentage,20.48,16.69,24.88,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Poultry,DQQ19,35,Percentage,22.51,17.23,28.84,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Poultry,DQQ19,35,Percentage,29.46,23.86,35.75,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Unprocessed red meat,NA,36,Percentage,29.02,25.61,32.56,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Unprocessed red meat,NA,36,Percentage,35.33,30.37,40.63,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Unprocessed red meat,NA,36,Percentage,23.65,20.04,27.68,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Unprocessed red meat,NA,36,Percentage,29.81,25.36,34.67,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Unprocessed red meat,NA,36,Percentage,27.82,22.73,33.56,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Unprocessed red meat (ruminants),DQQ17,37,Percentage,22,18.74,25.43,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Unprocessed red meat (ruminants),DQQ17,37,Percentage,26.51,21.8,31.82,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Unprocessed red meat (ruminants),DQQ17,37,Percentage,18.15,14.72,22.17,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Unprocessed red meat (ruminants),DQQ17,37,Percentage,23.49,19.03,28.63,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Unprocessed red meat (ruminants),DQQ17,37,Percentage,19.69,15.75,24.34,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Unprocessed red meat (non-ruminants),DQQ18,38,Percentage,12.23,9.79,14.92,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Unprocessed red meat (non-ruminants),DQQ18,38,Percentage,15.4,11.86,19.75,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Unprocessed red meat (non-ruminants),DQQ18,38,Percentage,9.54,7.06,12.77,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Unprocessed red meat (non-ruminants),DQQ18,38,Percentage,11.31,8.23,15.34,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Unprocessed red meat (non-ruminants),DQQ18,38,Percentage,13.67,10.07,18.29,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,More than one salty ultra-processed food,NA,39,Percentage,12.55,9.43,16.04,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,More than one salty ultra-processed food,NA,39,Percentage,15.31,10.9,21.08,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,More than one salty ultra-processed food,NA,39,Percentage,10.19,7.33,14,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,More than one salty ultra-processed food,NA,39,Percentage,12.47,8.39,18.14,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,More than one salty ultra-processed food,NA,39,Percentage,12.66,8.95,17.62,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Processed meats,DQQ16,40,Percentage,24.3,20.42,28.41,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Processed meats,DQQ16,40,Percentage,31.66,25.66,38.34,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Processed meats,DQQ16,40,Percentage,18.03,14.31,22.46,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Processed meats,DQQ16,40,Percentage,24.03,19.12,29.74,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Processed meats,DQQ16,40,Percentage,24.72,19.1,31.36,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Fast food or instant noodles,NA,41,Percentage,5.04,3.29,7.13,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Fast food or instant noodles,NA,41,Percentage,6.65,4.12,10.56,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Fast food or instant noodles,NA,41,Percentage,3.66,2.15,6.15,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Fast food or instant noodles,NA,41,Percentage,6.1,3.8,9.64,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Fast food or instant noodles,NA,41,Percentage,3.4,1.71,6.66,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Salty or fried snacks,NA,42,Percentage,24.4,20.67,28.35,998,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Salty or fried snacks,NA,42,Percentage,29.05,23.44,35.38,319,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Salty or fried snacks,NA,42,Percentage,20.45,16.84,24.6,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Salty or fried snacks,NA,42,Percentage,23.34,18.25,29.34,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Salty or fried snacks,NA,42,Percentage,26.04,21.14,31.62,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Deep fried foods,DQQ24,43,Percentage,16.76,13.55,20.23,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Deep fried foods,DQQ24,43,Percentage,20.25,15.08,26.63,319,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Deep fried foods,DQQ24,43,Percentage,13.79,10.93,17.24,680,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Deep fried foods,DQQ24,43,Percentage,14.63,10.68,19.73,568,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Deep fried foods,DQQ24,43,Percentage,20.04,15.19,25.97,431,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Packaged ultra-processed salty snacks,DQQ22,44,Percentage,11.24,8.46,14.36,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Packaged ultra-processed salty snacks,DQQ22,44,Percentage,13.25,9.52,18.15,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Packaged ultra-processed salty snacks,DQQ22,44,Percentage,9.53,6.78,13.24,679,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Urban,Packaged ultra-processed salty snacks,DQQ22,44,Percentage,13.12,9.3,18.2,567,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Rural,Packaged ultra-processed salty snacks,DQQ22,44,Percentage,8.35,5.53,12.41,432,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,All,Instant noodles,DQQ23,45,Percentage,1.47,0.66,2.58,999,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Male,Instant noodles,DQQ23,45,Percentage,1.45,0.58,3.58,320,2024_06_29,2024_08_27,2024,2024
Upper middle income,Europe and Central Asia,Georgia,GEO,Female,Instant noodles,DQQ23,45,Percentage,1.48,0.57,3.79,679,2024_06_29,2024_08_27,2024,2024
